variation,canonical_name
"Lisa McDonald","Lisa McDonald"
"Raymond Shannon","Raymond Shannon"
"Pat Barden","Pat Barden"
"Vicky Barron","Vicky Barron"
"Nicky Boland","Nicky Boland"
"Pip Breen","Pip Breen"
"Aidan Browne","Aidan Browne"
"Patricia Byrne","Patricia Byrne"
"Jim Codd","Jim Codd"
"Craig Doyle","Craig Doyle"
"Mary Farrell","Mary Farrell"
"Tom Forde","Tom Forde"
"Paddy Kavanagh","Paddy Kavanagh"
"Leonard Kelly","Leonard Kelly"
"Darragh McDonald","Darragh McDonald"
"Bridin Murphy","Bridin Murphy"
"Marty Murphy","Marty Murphy"
"Aoife Rose O'Brien","Aoife Rose O'Brien"
"John O'Rourke","John O'Rourke"
"Jackser Owens","Jackser Owens"
"Michael Sheehan","Michael Sheehan"
"Frank Staples","Frank Staples"
"Robbie Staples","Robbie Staples"
"Catherine Biddy Walsh","Catherine Biddy Walsh"
"Jim Moore","Jim Moore"
"Kathleen Codd-Nolan","Kathleen Codd-Nolan"
"John Hegarty","John Hegarty"
"Michael Whelan","Michael Whelan"
"Anthony Connick","Anthony Connick"
"Diarmuid Devereux","Diarmuid Devereux"
"Maura Bell","Maura Bell"
"Cathal Byrne","Cathal Byrne"
"Fionntain O'Suilleabhain","Fionntain O'Suilleabhain"
"Andrew Bolger","Andrew Bolger"
"George Lawlor","George Lawlor"
"Ger Codd","Ger Codd"
"L O'Brien","Aoife Rose O'Brien"
"A O'Brien","Aoife Rose O'Brien"
"F","Frank Staples"
"P Reck","Pat Reck"
"Anthony Dempsey","Tony Dempsey"
"O'Brien Mythen","Johnny Mythen"
"D Wadding","Deirdre Wadding"
"M Kinsella","Michael Kinsella"
"D Macpartlin","Declan Macpartlin"
"R Ireton","Robert Ireton"
"T Howlin","Ted Howlin"
"P Cody","Pat Cody"
"V Barron","Vicky Barron"
"B A","Barbara-Anne Murphy"
"C B","Cathal Byrne"
"A R","Aoife Rose O'Brien"
"F O","Fionntain O'Suilleabhain"
"B Ireton","Robert Ireton"
"J Curtis","John Curtis"
"A Fenlon","Anna Fenlon"
"K Nolan","Kathleen Codd-Nolan"
"L Allen","Lorcan Allen"
